0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Bifunctional air electrode,Catalyst support,Electrocatalyst design,Unitized regenerative PEM fuel cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chitosan,Hyaluronic acid,One pot reaction,Polysaccharides,Triple network gel,Water system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apocynaceae,Asclepiadoideae,Northeastern Thailand,Open sandy area,Strong musty smell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antiviral,Hepatitis B,HIV,Network meta-analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
galaxies high-redshift,galaxies ISM,galaxies star formation,galaxies starburst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defamation,Machine-learning,Social-media,Text-classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aragonite plates,nacre,structural colors,transfer matrix method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elderly,Indonesia,Nursing home,Quality of life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disease,Health,Health development,Illness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accountants,HR practices,Job embeddedness,Job satisfaction,Quit intention,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instruction design,Learning disabilities,Mobile application,Reading Comprehensive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Download delay,Models of Time Perception,Online wait,Perceived waiting time,Progress bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clustering,DBSCAN,Point of Interest,Taxi GPS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antidepressant,major depressive disorder,real-world study,vortioxetine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metabolomics,nuclear magnetic resonance,osteoarthritis,rheumatoid arthritis,synovial fluid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bone mineral density,Bone turnover marker,C-terminal cross-linked telopeptide of type I collagen,epigenetic,microRNA-21,postmenopausal osteoporosis,procollagen type I N-terminal propeptide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biorefinery,Process integration,Process synthesis,Pulp and paper industry,Superstructure optimization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,healthcare utilization,rural residents,Smoking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coacervate,HVOCs,nonionic surfactant,octanol-water partition coefficient,vacuum stripping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caloinophyllin A,Calophyllum inophyllum,chromanone derivative,cytotoxicity,Guttiferae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coral,Diversity,Microbiome,Microbiota,Reef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cross-species amplification,Genetic variation,Microsatellite,Oyster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antibacterial,Cell division,Ecteinascidin 770,Et770,FtsZ,Marine sponge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jatropha curcas seed,Oil extraction,Phorbol esters,Surfactant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3d printing,Multi-spectral imaging,Spectral reproduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aboveground root,Bamboo seawall,Elevation change,Mangrove forest,Sedimentation rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute pain,Cardiac surgery,Cold therapy,Pain management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16S rRNA gene sequence,Clostridium,Enterococcus,Lactobacillus,Succinic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Case studies,Problems,Public-private partnerships (PPP),Transportation,Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptive search,Martingale processes,Simulation optimization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erythrotoxicity,pharmacology/toxicology,teratogenicity,xanthone,zebrafish,α-Mangostin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute-on-chronic liver failure,Cirrhosis,Mortality,NGAL,Renal failure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardiovascular disease CVD,Carotid intima-media thickness CIMT,Common carotid artery CCA,Household air pollution,PM less than 10 micrometer PM10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adverse event,Allergic reactions,Anaphylactoid reactions,Anaphylaxis,Drug allergy,Perioperative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laparoscopic IPOM,Laparoscopic ventral hernia repair,Postoperative seroma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IgA nephropathy,Lupus nephritis,Periostin,Renal function,Urinary biomarker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,BI-RADS 3 and 4,Breast masses,Diagnostic accuracy,Malignant,Shear wave elastography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albumin,Therapeutic plasma exchange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominant hemisphere,FMRI,Functional MRI,Language lateralization,LI,Right-handedness,Statistics,Thai,Threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond Standard Model,Hadron-Hadron scattering (experiments),Higgs physics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hadron-Hadron scattering (experiments),Higgs physics,Photon production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2emissions,energy consumption,GDP growth,income per capita,population growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond Standard Model,Hadron-Hadron scattering (experiments),Higgs physics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspergillus fumigatus,Cell wall,Glycogen,High-osmotic glycerol pathway,MpkC,Protein kinase A,SakA,Trehalose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apigenin,Breast cancer,Cell cycle arrest,Necrosis,α-Mangostin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autoantibody,diagnosis,glutamic acid decarboxylase,insulinoma-2 antigen,type 1 diabetes mellitus,zinc transporter 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asclepiodoideae,corolline corona,Dischidia thaithongiae,limestone hill,southern Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
information security,microservices,network logging,scalability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hadron-Hadron scattering (experiments),Supersymmetry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond Standard Model,Hadron-Hadron scattering (experiments),Higgs physics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hadron-Hadron scattering (experiments),Higgs physics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ageing,dog,fibrosis,seminiferous tubule,testis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chitosan,gonadotropin-releasing hormone,spermatogonia,testis-mediated gene transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hadron-Hadron scattering (experiments),Jet physics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solitons Monopoles and Instantons,Supersymmetric Effective Theories,Supersymmetry and Duality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aluminum,Interpenetrating phase composite,Mechanical properties,Metallic foam,Microstructure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMS,Cross section,Jets,LHC,Physics,Proton,Standard model,Z boson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newly blues mothers,Postpartum blues,Progressive musclrelaxation,Self-Affirmation,Self-EAR program,Self-Empowerment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hadron-Hadron scattering (experiments),Supersymmetry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brucellosis,Multiple species,Outbreak,Ruminant farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atrial fibrillation,cardiac,heart,meta-analysis,transplant,transplantation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond Standard Model,Hadron-Hadron scattering (experiments),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrylic resin,Flexural strength,Microhardness,Water solubility,Water sorption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b hadrons,CMS,Experimental results,Hadron spectroscopy,Heavy flavour spectroscopy,Physics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apoptosis,Dendrobium venustum,Lung cancer,Phoyunnanin E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adverse events,behavior,knowledge,laser treatment,sun protection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antero-posterior diameter change,Body position,Chest wall motion,Medio-lateral diameter change,Meta-analysis,Volume variation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNA damage,DNA lesions,Epigenetics,RIND-EDSBs,Senescence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinobacteria,Lichen,Polyphasic taxonomy,Streptomyces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adult-onset systemic lupus erythematosus,childhood-onset systemic lupus erythematosus,Cutaneous lupus erythematosus,juvenile-onset systemic lupus erythematosus,systemic involvement,systemic lupus erythematosus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akt,Calmodulin-regulated spectrin-associated protein 3,CAMSAP3,Cell migration,EMT,Epithelial-to-mesenchymal transition,Protein kinase B,Tubulin acetylation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angiotensin,Candesartan,ERK,IL-2,T-lymphocyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antimicrobial resistance,Australia,Genetics,ST1,Streptococcus suis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acute kidney injury,chronic kidney disease,nephrolithiasis,oxalate nephropathy,oxalosis,secondary oxalosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrogen,Methyl orange,Photocatalysis,Silver,TiO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cadmium,Electrochemical sensor,Graphene,Lead,Nanocomposite,Zinc oxide nanorod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bone,DNA,Environments,Polymerase chain reaction,Teeth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arterioportal fistula,arterioportal malformation,congenital vascular anomaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hadron-Hadron scattering (experiments),Higgs physics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5′ RACE,Cassava,Isoamylase 3,Recombinant MeISA3,Starch debranching enzyme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bilateral,height-width ratio,lateral pillar,Perthes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arginine,Birth weight,Colostrum,Daily gain,Immunoglobulin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat shock factor,Heat shock protein,Penaeus monodon,Shrimp immunity,Thermal stress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penaeus monodon,Plasmolipin,Transmembrane protein,Yellow head virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-butanol tolerance,Bacillus subtilis,Glycerolipids,Liquid chromatography–mass spectrometry,Membrane lipids,Phospholipids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bio-based surfactant,Castor oil,Makeup remover,Microemulsion,Sunflower oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayesian estimation,collision resolution,tag,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bladed mixer,Granular material,Impeller torque,Particulate flow regime,Shear rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-propanol,Adsorption,Density functional theory,Ethanol,Hematite,In situ FTIR spectroscopy,Methanol,Temperature programmed desorption,α-Fe2O3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP22,Photosynthesis,Rice,Salt stress,Salt tolerance gene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brain,Brainstem hypoplasia,Cerebellar hypoplasia,Children,Congenital melanocytic nevus,Magnetic resonance imaging,Melanosis,Neurocutaneous melanosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multi-class classification,one-versus-one,Support vector machine (SVM),Universum support vector machine (USVM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cellulose,Congo red adsorption,Fe3O4,Newspaper waste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calcification,enamel,mineralisation,periodontium,proliferation,stress fibre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antioxidant activity,DFT calculation,DPPH (PubChem CID 2735032),DPPH assay,Ethanol (PubChem CID 702),Hydroxytyrosol (PubChem CID 82755),Oleuropein (PubChem CID 5281544),Olive oleuropein,Tyrosol (PubChem CID 10393),X-ray analysis,β-Cyclodextrin,β-Cyclodextrin (PubChem CID 444041),,,,,,,,,,,,,,,,,,,,,,,,,,,
Bystin1,Gene expression,Ovarian development,Penaeus monodon,Protein expression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glycerol,Glycerol kinase,Lipids,Methyl esters,Oxidative stress,Synechocystis sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Next generation attenuation model,Northern Thailand,Peak ground acceleration,Seismic response analysis,Tarlay earthquake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artemisinin combination therapy,Chloroquine resistance,Exon 2,Intron,Malaria,Pfcrt,Plasmodium falciparum,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gene expression,Growth,Penaeus monodon,SNPs,Tbrg1-l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmer,Food security,Food sustainability,Land right,Land security,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNA barcoding,Listeria,Multi-locus variable-number tandem repeat analysis,Next generation sequencing,Two-step polymerase chain reaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antimicrobial,Chitosan,Ethylene scavenging,Nanocomposite,Titanium dioxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPV,Multiphenotypic,Sinonasal carcinoma,Type 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antimicrobial,Coatings,Corrosion resistance,Dental materials,Polymers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumene hydroperoxide degradation,recyclable photocatalytic material,TiO2P-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D-2-Hydroxyglutaric aciduria,Metaphyseal chondromatosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cancer care,death,death acceptance,end-of-life care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internet message board,Pump and dump,Share price manipulation,Short and longer run event study,Short selling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agency theory,Buybacks,CEO pay slice,CEO power,Dividend policy,Dividends,Repurchases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food waste,horizontal,in-vessel composter,turning device,vertical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intergenerational redistribution,Old-age allowance,Pension,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durability,Reusable flexible ureteroscope,Scope repair,Ureteral access sheath,Ureteroscopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Force/torque reflection,passivity,position/orientation tracking,time-varying delayed teleoperation system,wave correction,wave variable controller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immunoparalysis,Polymyxin B hemoperfusion,Severe sepsis/septic shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chronological aging,modified ends with insertion,repair defect,replication-independent endogenous DNA double-strand breaks,Saccharomyces cerevisiae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carrier-based realization,dipolar PWM,space-vector PWM,Three-level inverters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
modulation method,switching loss reduction,symmetrical dc link,Three-level back-to-back converters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carrier-based modulation,Matrix converters,overmodulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute kidney injury,Exposure index,Intra-abdominal hypertension,Laparoscopic abdominal surgery,NGAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chain length,Nanocomposite,Phase transition,Polydiacetylene,Thermochromism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
electrocatalysts,first-principles calculations,hydrogen evolution reaction,Ni-Cu-P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthus ebracteatus,Antioxidant,Glutamate toxicity,HT22 cells,Neuroprotection,Nrf2/ARE pathway,Oxidative stress,Oxytosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aggregation of beliefs,Information markets,Logarithmic market scoring rules,Market design,Prediction markets,Trading mechanism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcohol enhancing,Gelation process,Hydrophobic interaction,Monohydric alcohol,Polyhydric alcohol,Silk fibroin hydrogel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrageenan,Electromechanical properties,Hydrogel,Poly(3-hexylthiophene),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Au nanoparticles,Chago cells,Cytotoxicity,Doxorubicin,PABA-QP,Pullulan derivatives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duck,Eggs,Food safety,Heavy metal,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
consumption,household expenditure,rural China,self-rated health,Tobacco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arginine-glycine-aspartate (RGD),BMP2,Bone regeneration,FGF18,hydrogel,nanogel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perylene,photosensitiser,Porphyrin,quantum chemical calculation,thiophene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copper oxide nanoparticle,Cytotoxicity,Drosophila melanogaster,Nrf2,Reactive oxygen species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building material,Low thermal conductivity concrete,Plastic waste utilization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2HDM\u202f+\u202fS,CMS,Exotic decays,Higgs boson,NMSSM,Physics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMS,Heavy ion,Jet,Jet quenching,Photon,Physics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-fluorouracil resistance,Chk2,Colorectal cancer,Cytoplasmic p21,p21,Protein interaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dried fruit,Osmosis,Osmotic dehydration,Papaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthocyanins,Antioxidant activity,Cleistocalyx nervosum,Stability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citron,Postharvest,SPME,Storage,Volatile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antidesma,Antioxidant,Mao,Phenolics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antioxidant activities,Curcuma alismatifolia Gagnep,Siam tulip,Total phenolic content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNA barcode,Littoral earthworm,Systematics,Taxonomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blood donors,blood screening,HTLV,retrovirus,seroprevalence,South-east Asia,Thailand,transfusion transmitted infection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amphotericin B,hemolytic; antifungal,nanostructured lipid carriers; aggregates,solid lipid nanoparticles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large detector-systems performance,Particle identification methods,Performance of High Energy Physics Detectors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cultural distance,health care services,Japan,perceived psychic distance,service internationalization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart,mind,psychocardiology,thalassemia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aldosterone-producing adrenal adenomas,KCNJ5 somatic mutations,Thai patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
early cirrhotic,nonselective B-blocker,primary variceal bleeding prophylaxis,transient elastography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antioxidant,Oregano,Phenolics,Ravioli,Sweet basil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atrial fibrillation,Kidney transplantation,Meta-analysis,Renal transplantation,Systematic reviews,Transplantation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antioxidant,Bread,Gluten free,Hom Mali,Hom nil,Physicochemical properties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bakers yeast,Ethanol production,Glycerol,Saccharomyces cerevisiae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self-efficacy,self-management,type 2 diabetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adipate ester (AE),biodegradation,migration,plasticizer,Poly(lactic) acid (PLA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaxideae,SE Asian biodiversity,systematic,taxonomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deciduous teeth,Interleukin 6,Osteogenic differentiation,Stem cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Kalimantan,Internal transcribed spacers (ITS),Resupinate,Tropical forest,White-rot fungi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute kidney injury,Bacterial infections,Leptospirosis,Perspectives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hadron-Hadron scattering (experiments),Jet physics,Quark Gluon Plasma,Relativistic heavy ion physics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carboxylated ABS,Mechanical properties,Poly(lactic acid)/PLA-g-ABS blends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antibacterial activity,Bacillus,Lactic acid,Rep- PCR,Soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annonaceae,Aporphine alkaloid,Artabotrys spinosus,ChE inhibitory activity,Molecular docking calculation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atrial fibrillation,Hepatic,Liver,Meta-analysis,Systematic reviews,Transplant,Transplantation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adiponectin,Biomarker,Chronic liver disease,Hyperadiponectinemia,Liver fibrosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elderly population,Quality of life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AISI 316L,Laser cladding,Stellite 31,Wear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCC2,Irinotecan,Metastatic colorectal cancer,SLCO1B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anesthesia,Complication,ICU admission,Intensive care unit,Unplanned admission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hadron-Hadron scattering (experiments),Heavy-ion collision,Quark gluon plasma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hadron-Hadron scattering (experiments),Top physics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combined oral contraceptive,dienogest,estradiol valerate,heavy menstrual bleeding,menstrualblood loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetaldehyde,Hydrothermal,Oxidative dehydrogenation,Sol-gel,Vanadium oxides,VOxsupported SBA-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-month mortality,Cirrhosis,Infection,MELD score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abiotic stress,Glycogen,Metabolic engineering,Polyhydroxybutyrate,Synechocystis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amines,Bicarbonate,Diisopropylamine,Electrochemical reduction,Silver oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aging,balance assessment,unstable surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,catastrophic health expenditure,health economics,health financing,inequality,out-of-pocket health expenditure,poverty,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
childless,depression,gender,living arrangements,marital status,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpha-fetoprotein,HBV,HCC,tumor marker,WFA+ M2BP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geochemistry,granitoid,Loei fold belt,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adsorption energy,Propane,Propylene,SSC-DFTB computations,ZIF-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMT neuropathies,exogenous pyruvate,improved nerve function,NT-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardiac Arrest,CD,CVD,UC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antioxidant enzyme,Exogenous spermine,Synechocystis sp. PCC 6803,UVA irradiation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freshwater invertebrates,liquid chromatography,personal care products,pharmaceuticals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cholesky randomization,Flood peak,Monte Carlo analysis,Rainfall spatial distribution,Yom River basin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flow cytometry,manual microscopy,Mindray BC-6800,nucleated red blood cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EIS,Microstructure,Pitting corrosion,Polarization,Titanium alloy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dopants,Hydrogen sulfide,Oxygen vacancies,Selective oxidation,Vanadium oxides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allergic rhinitis,antihistamines,corticosteroids,histamine antagonist,steroids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,childhood,gastrointestinal,liver,obesity,probiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computed tomography colonography,Electronic colon cleansing,Partial volume effect,Pseudo-enhancement correction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
